SEASON_ID,FORUM_SOURCE,FORUM_COUNTRY,TOPIC_NUMBER,IS_FOR_PREDICT,IS_FOR_RESULT
S1,BI,FRANCE,108506,1,0
S1,BI,FRANCE,108504,0,1
S2,BI,FRANCE,108904,1,0
S2,BI,FRANCE,108903,0,1
