SEASON_ID,SEASON_SPORT,SEASON_COUNTRY,SEASON_NAME,SEASON_DIVISION,SEASON_TEAMCHOICE_DEADLINE
S1,BASKETBALL,FRANCE,2024-2025,PROB,2025-01-23
S2,BASKETBALL,FRANCE,2025-2026,ELITE2,2026-01-23
